,#source,ID,description
350025,bigg.metabolite:slnt,MNXM1157,Selenite
351291,bigg.metabolite:frulysp,MNXM11605,Fructoselysine Phosphate
353888,bigg.metabolite:2mecdp,MNXM1168,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate"
354552,bigg.metabolite:urea,MNXM117,Urea
354598,bigg.metabolite:3dhgulnp,MNXM1170,3-keto-L-gulonate-6-phosphate
356794,bigg.metabolite:4h2opntn,MNXM1176,4-Hydroxy-2-oxopentanoate
357153,bigg.metabolite:4pasp,MNXM1177,4-Phospho-L-aspartate
357515,bigg.metabolite:5aprbu,MNXM1178,5-Amino-6-(5'-phosphoribitylamino)uracil
358145,bigg.metabolite:hacolipa,MNXM11799,Hepta-acylated core oligosaccharide lipid A (E. coli)
358182,bigg.metabolite:ptrc,MNXM118,Putrescine
359605,bigg.metabolite:ara5p,MNXM1184,D-Arabinose 5-phosphate
361265,bigg.metabolite:ppgpp,MNXM1189,"Guanosine 3',5'-bis(diphosphate)"
362293,bigg.metabolite:mpt,MNXM1193,Molybdopterin
364816,bigg.metabolite:23dhmp,MNXM1202,"(R)-2,3-Dihydroxy-3-methylpentanoate"
367962,bigg.metabolite:sucbz,MNXM1212,O-Succinylbenzoate
368720,bigg.metabolite:mercppyr,MNXM1214,Mercaptopyruvate
370673,bigg.metabolite:2dda7p,MNXM1219,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
372785,bigg.metabolite:5prdmbz,MNXM1224,"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole"
375245,bigg.metabolite:hcys__L,MNXM123,L-Homocysteine
376482,bigg.metabolite:galt,MNXM1233,Galactitol
378695,bigg.metabolite:xu5p__L,MNXM1238,L-Xylulose 5-phosphate
379315,bigg.metabolite:spmd,MNXM124,Spermidine
382374,bigg.metabolite:h2s,MNXM124865,Hydrogen sulfide
383957,bigg.metabolite:12ppd__S,MNXM1255,"(S)-Propane-1,2-diol"
387033,bigg.metabolite:skm5p,MNXM1265,Shikimate 5-phosphate
389682,bigg.metabolite:met__D,MNXM1275,D-Methionine
391208,bigg.metabolite:ca2,MNXM128,Calcium
391266,bigg.metabolite:glu5p,MNXM1280,L-Glutamate 5-phosphate
391571,bigg.metabolite:histd,MNXM1281,L-Histidinol
396912,bigg.metabolite:co2,MNXM13,CO2
403550,bigg.metabolite:dmpp,MNXM132,Dimethylallyl diphosphate
409699,bigg.metabolite:phom,MNXM1334,O-Phospho-L-homoserine
411862,bigg.metabolite:selnp,MNXM1339,Selenophosphate
422565,bigg.metabolite:3psme,MNXM1365,5-O-(1-Carboxyvinyl)-3-phosphoshikimate
427034,bigg.metabolite:ghb,MNXM13761,Gamma-hydroxybutyrate
427834,bigg.metabolite:ggbutal,MNXM1378,Gamma-glutamyl-gamma-butyraldehyde
428626,bigg.metabolite:cbp,MNXM138,Carbamoyl phosphate
430341,bigg.metabolite:acg5p,MNXM1384,N-Acetyl-L-glutamyl 5-phosphate
435436,bigg.metabolite:prfp,MNXM1397,1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide
436788,bigg.metabolite:34dhpac,MNXM1401,"3,4-Dihydroxyphenylacetaldehyde"
437260,bigg.metabolite:pppn,MNXM1403,Phenylpropanoate
438310,bigg.metabolite:gg4abut,MNXM1406,Gamma-glutamyl-gamma aminobutyric acid
438694,bigg.metabolite:4per,MNXM1407,4-Phospho-D-erythronate
439099,bigg.metabolite:prlp,MNXM1408,5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide
443610,bigg.metabolite:thr__L,MNXM142,L-Threonine
444481,bigg.metabolite:eig3p,MNXM1422,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
451600,bigg.metabolite:ala_B,MNXM144,Beta-Alanine
454222,bigg.metabolite:ugmd,MNXM1446,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate"
455505,bigg.metabolite:ru5p__D,MNXM145,D-Ribulose 5-phosphate
456409,bigg.metabolite:glu1sa,MNXM1453,L-Glutamate 1-semialdehyde
456991,bigg.metabolite:2cpr5p,MNXM1455,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
457226,bigg.metabolite:imacp,MNXM1456,3-(Imidazol-4-yl)-2-oxopropyl phosphate
458095,bigg.metabolite:4adcho,MNXM1458,4-amino-4-deoxychorismate
