,Source,BiGG,MNXM,Stuff,Unnamed: 4
4105,bigg.metabolite:,5prdmbz,MNXM1224,"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",
4111,bigg.metabolite:,galt,MNXM1233,Galactitol,
4114,bigg.metabolite:,xu5p__L,MNXM1238,L-Xylulose5-phosphate,
4117,bigg.metabolite:,spmd,MNXM124,Spermidine,
4124,bigg.metabolite:,HC00250,MNXM124865,Hydrosulfide,
4125,bigg.metabolite:,h2s,MNXM124865,Hydrogensulfide,
4128,bigg.metabolite:,12ppd__S,MNXM1255,"(S)-Propane-1,2-diol",
4140,bigg.metabolite:,skm5p,MNXM1265,Shikimate5-phosphate,
4148,bigg.metabolite:,met__D,MNXM1275,D-Methionine,
4151,bigg.metabolite:,ca2,MNXM128,Calcium,
4152,bigg.metabolite:,glu5p,MNXM1280,L-Glutamate5-phosphate,
4154,bigg.metabolite:,histd,MNXM1281,L-Histidinol,
4171,bigg.metabolite:,co2,MNXM13,CO2,
4181,bigg.metabolite:,dmpp,MNXM132,Dimethylallyldiphosphate,
4193,bigg.metabolite:,phom,MNXM1334,O-Phospho-L-homoserine,
4200,bigg.metabolite:,selnp,MNXM1339,Selenophosphate,
4209,bigg.metabolite:,3psme,MNXM1365,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,
4214,bigg.metabolite:,ggbutal,MNXM1378,Gamma-glutamyl-gamma-butyraldehyde,
4215,bigg.metabolite:,cbp,MNXM138,Carbamoylphosphate,
4218,bigg.metabolite:,acg5p,MNXM1384,N-Acetyl-L-glutamyl5-phosphate,
4219,bigg.metabolite:,prfp,MNXM1397,1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide,
4221,bigg.metabolite:,34dhpac,MNXM1401,"3,4-Dihydroxyphenylacetaldehyde",
4222,bigg.metabolite:,pppn,MNXM1403,Phenylpropanoate,
4224,bigg.metabolite:,gg4abut,MNXM1406,Gamma-glutamyl-gammaaminobutyricacid,
4225,bigg.metabolite:,4per,MNXM1407,4-Phospho-D-erythronate,
4226,bigg.metabolite:,prlp,MNXM1408,5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide,
4228,bigg.metabolite:,thr__L,MNXM142,L-Threonine,
4229,bigg.metabolite:,eig3p,MNXM1422,D-erythro-1-(Imidazol-4-yl)glycerol3-phosphate,
