BiGG,BiGG_target
M_2dmmq8_c,M_dhap_c
M_glyc3p_c,M_2dmmql8_c
M_glyc3p_c,M_dhap_c
M_6pgc_c,M_2ddg6p_c
M_6pgc_c,M_h2o_c
M_2dmmq8_c,M_2dmmql8_c
M_2dmmq8_c,M_nad_c
M_h_c,M_2dmmql8_c
M_h_c,M_nad_c
M_nadh_c,M_2dmmql8_c
M_nadh_c,M_nad_c
M_h_c,M_mql8_c
M_h_c,M_nad_c
M_mqn8_c,M_mql8_c
M_mqn8_c,M_nad_c
M_nadh_c,M_mql8_c
M_nadh_c,M_nad_c
M_amp_c,M_adp_c
M_amp_c,M_idp_c
M_itp_c,M_adp_c
M_itp_c,M_idp_c
M_atp_c,M_adp_c
M_atp_c,M_h_c
M_atp_c,M_imp_c
M_ins_c,M_adp_c
M_ins_c,M_h_c
M_ins_c,M_imp_c
M_mal__L_c,M_h_c
M_mal__L_c,M_nadh_c
M_mal__L_c,M_oaa_c
M_nad_c,M_h_c
M_nad_c,M_nadh_c
M_nad_c,M_oaa_c
M_4abut_c,M_glu__L_c
M_4abut_c,M_sucsal_c
M_akg_c,M_glu__L_c
M_akg_c,M_sucsal_c
M_fum_c,M_mal__L_c
M_h2o_c,M_mal__L_c
M_atp_c,M_fad_c
M_atp_c,M_ppi_c
M_fmn_c,M_fad_c
M_fmn_c,M_ppi_c
M_h_c,M_fad_c
M_h_c,M_ppi_c
M_atp_c,M_adp_c
M_atp_c,M_h_c
M_atp_c,M_pdx5p_c
M_pydxn_c,M_adp_c
M_pydxn_c,M_h_c
M_pydxn_c,M_pdx5p_c
M_h2o_c,M_h2o2_c
M_h2o_c,M_nh4_c
M_h2o_c,M_pydx5p_c
M_o2_c,M_h2o2_c
M_o2_c,M_nh4_c
M_o2_c,M_pydx5p_c
M_pyam5p_c,M_h2o2_c
M_pyam5p_c,M_nh4_c
M_pyam5p_c,M_pydx5p_c
M_h2o_c,M_h_c
M_h2o_c,M_nadh_c
M_h2o_c,M_succ_c
M_nad_c,M_h_c
M_nad_c,M_nadh_c
M_nad_c,M_succ_c
M_sucsal_c,M_h_c
M_sucsal_c,M_nadh_c
M_sucsal_c,M_succ_c
M_asp__L_c,M_fum_c
M_asp__L_c,M_nh4_c
M_glu__L_c,M_akg_c
M_glu__L_c,M_phthr_c
M_ohpb_c,M_akg_c
M_ohpb_c,M_phthr_c
M_ser__L_c,M_nh4_c
M_ser__L_c,M_pyr_c
M_h2o_c,M_amp_c
M_h2o_c,M_h_c
M_h2o_c,M_nmn_c
M_nad_c,M_amp_c
M_nad_c,M_h_c
M_nad_c,M_nmn_c
M_nad_c,M_2aobut_c
M_nad_c,M_h_c
M_nad_c,M_nadh_c
M_thr__L_c,M_2aobut_c
M_thr__L_c,M_h_c
M_thr__L_c,M_nadh_c
M_atp_c,M_adp_c
M_atp_c,M_h_c
M_atp_c,M_man6p_c
M_man_c,M_adp_c
M_man_c,M_h_c
M_man_c,M_man6p_c
M_atp_c,M_nad_c
M_atp_c,M_ppi_c
M_h_c,M_nad_c
M_h_c,M_ppi_c
M_nmn_c,M_nad_c
M_nmn_c,M_ppi_c
M_23dhmb_c,M_alac__S_c
M_23dhmb_c,M_h_c
M_23dhmb_c,M_nadph_c
M_nadp_c,M_alac__S_c
M_nadp_c,M_h_c
M_nadp_c,M_nadph_c
M_4ahmmp_c,M_4ampm_c
M_4ahmmp_c,M_adp_c
M_4ahmmp_c,M_h_c
M_atp_c,M_4ampm_c
M_atp_c,M_adp_c
M_atp_c,M_h_c
M_2ahbut_c,M_23dhmp_c
M_2ahbut_c,M_nadp_c
M_h_c,M_23dhmp_c
M_h_c,M_nadp_c
M_nadph_c,M_23dhmp_c
M_nadph_c,M_nadp_c
M_accoa_c,M_adp_c
M_accoa_c,M_h_c
M_accoa_c,M_malcoa_c
M_accoa_c,M_pi_c
M_atp_c,M_adp_c
M_atp_c,M_h_c
M_atp_c,M_malcoa_c
M_atp_c,M_pi_c
M_hco3_c,M_adp_c
M_hco3_c,M_h_c
M_hco3_c,M_malcoa_c
M_hco3_c,M_pi_c
M_atp_c,M_adp_c
M_atp_c,M_h_c
M_atp_c,M_nadp_c
M_nad_c,M_adp_c
M_nad_c,M_h_c
M_nad_c,M_nadp_c
M_glx_c,M_2h3oppan_c
M_glx_c,M_co2_c
M_h_c,M_2h3oppan_c
M_h_c,M_co2_c
M_chor_c,M_ichor_c
M_2shchc_c,M_h2o_c
M_2shchc_c,M_sucbz_c
M_23ddhb_c,M_23dhb_c
M_23ddhb_c,M_h_c
M_23ddhb_c,M_nadh_c
M_nad_c,M_23dhb_c
M_nad_c,M_h_c
M_nad_c,M_nadh_c
M_h2o_c,M_23ddhb_c
M_h2o_c,M_pyr_c
M_ichor_c,M_23ddhb_c
M_ichor_c,M_pyr_c
M_glutrna_c,M_glu1sa_c
M_glutrna_c,M_nadp_c
M_glutrna_c,M_trnaglu_c
M_h_c,M_glu1sa_c
M_h_c,M_nadp_c
M_h_c,M_trnaglu_c
