,#ID,name,reference,formula,charge,mass,InChI,InChIKey,SMILES
785702,MNXM729302,NH4(+),chebi:28938,H4N,1.0,18.03383,InChI=1S/H3N/h1H3/p+1,InChIKey=QGZKDVFQNNGYKY-UHFFFAOYSA-O,[NH4+]
785974,MNXM729613,D-fructose,chebi:37721,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-3-4(9)5(10)6(11,2-8)12-3/h3-5,7-11H,1-2H2/t3-,4-,5+,6?/m1/s1",InChIKey=RFSUNEUAIZKAJO-VRPWFDPXSA-N,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
786321,MNXM73,phosphoenolpyruvate,chebi:58702,C3H2O6P,-3.0,164.96055,"InChI=1S/C3H5O6P/c1-2(3(4)5)9-10(6,7)8/h1H2,(H,4,5)(H2,6,7,8)/p-3",InChIKey=DTBNBXWJWCWCIK-UHFFFAOYSA-K,C=C(OP(=O)([O-])[O-])C(=O)[O-]
787503,MNXM731400,polyphosphate,chebi:16838,HO4P,-2.0,95.96234,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-2",InChIKey=NBIIXXVUZAFLBC-UHFFFAOYSA-L,O=P([O-])([O-])O
787900,MNXM731834,(R)-lactate,chebi:16004,C3H5O3,-1.0,89.02442,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/m1/s1",InChIKey=JVTAAEKCZFNVCJ-UWTATZPHSA-M,C[C@@H](O)C(=O)[O-]
789234,MNXM733314,D-sedoheptulose 7-phosphate,chebi:57483,C7H13O10P,-2.0,288.02573,"InChI=1S/C7H15O10P/c8-1-3(9)5(11)7(13)6(12)4(10)2-17-18(14,15)16/h4-8,10-13H,1-2H2,(H2,14,15,16)/p-2/t4-,5-,6-,7+/m1/s1",InChIKey=JDTUMPKOJBQPKX-GBNDHIKLSA-L,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
789926,MNXM734080,6-phospho-D-gluconate,chebi:58759,C6H10O10P,-3.0,273.0028,"InChI=1S/C6H13O10P/c7-2(1-16-17(13,14)15)3(8)4(9)5(10)6(11)12/h2-5,7-10H,1H2,(H,11,12)(H2,13,14,15)/p-3/t2-,3-,4+,5-/m1/s1",InChIKey=BIRSGZKFKXLSJQ-SQOUGZDYSA-K,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
790139,MNXM734299,a polyvinyl alcohol,chebi:17246,C2H6O,0.0,46.04186,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO
791174,MNXM735437,triplet dioxygen,chebi:27140,O2,0.0,31.98983,InChI=1S/O2/c1-2,InChIKey=MYMOFIZGZYHOMD-UHFFFAOYSA-N,[O][O]
791175,MNXM735438,O2,chebi:15379,O2,0.0,31.98983,InChI=1S/O2/c1-2,InChIKey=MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O
791308,MNXM735578,an oxidized polyvinyl alcohol,chebi:16571,C2H4O,0.0,44.02621,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",InChIKey=IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O
792887,MNXM737340,fumarate,chebi:29806,C4H2O4,-2.0,113.99641,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-2/b2-1+",InChIKey=VZCYOOQTPOCHFL-OWOJBTEDSA-L,O=C([O-])/C=C/C(=O)[O-]
794128,MNXM738702,NADPH,chebi:57783,C21H26N7O17P3,-4.0,741.062,"InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/p-4/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",InChIKey=ACFIXJIJDZMPPO-NNYOXOHSSA-J,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
795268,MNXM739946,D-glyceraldehyde 3-phosphate,chebi:59776,C3H5O6P,-2.0,167.98347,"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h1,3,5H,2H2,(H2,6,7,8)/p-2/t3-/m0/s1",InChIKey=LXJXRIRHZLFYRP-VKHMYHEASA-L,O=C[C@H](O)COP(=O)([O-])[O-]
796394,MNXM741173,L-glutamate,chebi:29985,C5H8NO4,-1.0,146.04588,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1",InChIKey=WHUUTDBJXJRKMK-VKHMYHEASA-M,[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]
805768,MNXM75,acetaldehyde,chebi:15343,C2H4O,0.0,44.02621,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",InChIKey=IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O
826038,MNXM77,dihydroxyacetone phosphate,chebi:57642,C3H5O6P,-2.0,167.98347,"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h4H,1-2H2,(H2,6,7,8)/p-2",InChIKey=GNGACRATGGDKBX-UHFFFAOYSA-L,O=C(CO)COP(=O)([O-])[O-]
856684,MNXM8,NAD(+),chebi:57540,C21H26N7O14P2,-1.0,662.10185,"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p-1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",InChIKey=BAWFJGJZGIEFAR-NNYOXOHSSA-M,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
961123,MNXM89661,isocitrate(3-),chebi:16087,C6H5O7,-3.0,189.00517,"InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)/p-3",InChIKey=ODBLHEXUDAPZAU-UHFFFAOYSA-K,O=C([O-])CC(C(=O)[O-])C(O)C(=O)[O-]
964543,MNXM9,phosphate,chebi:43474,HO4P,-2.0,95.96234,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-2",InChIKey=NBIIXXVUZAFLBC-UHFFFAOYSA-L,O=P([O-])([O-])O
1066989,WATER,H2O,mnx:WATER,H2O,0.0,18.01056,InChI=1S/H2O/h1H2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N,[H]O[H]
