,#ID,name,reference,formula,charge,mass,InChI,InChIKey,SMILES
179874,MNXM151894,aldehydo-L-talose,chebi:86058,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h1,3-6,8-12H,2H2/t3-,4-,5-,6+/m0/s1",InChIKey=GZCGUPFRVQAUEE-OMMKOOBNSA-N,O=C[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO
180509,MNXM152641,beta-Ala-Gly,chebi:73834,C5H10N2O3,0.0,146.06914,"InChI=1S/C5H10N2O3/c6-2-1-4(8)7-3-5(9)10/h1-3,6H2,(H,7,8)(H,9,10)",InChIKey=QDHYJVJAGQLHBA-UHFFFAOYSA-N,NCCC(=O)NCC(=O)O
180614,MNXM152769,beta-L-idopyranose,chebi:72452,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4-,5+,6-/m0/s1",InChIKey=WQZGKKKJIJFFOK-ZSNZIGRDSA-N,OC[C@@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
183540,MNXM156398,Gly-D-Ala,chebi:73891,C5H10N2O3,0.0,146.06914,"InChI=1S/C5H10N2O3/c1-3(5(9)10)7-4(8)2-6/h3H,2,6H2,1H3,(H,7,8)(H,9,10)/t3-/m1/s1",InChIKey=VPZXBVLAVMBEQI-GSVOUGTGSA-N,C[C@@H](NC(=O)CN)C(=O)O
184193,MNXM1572,methylmalonate,chebi:17453,C4H4O4,-2.0,116.01206,"InChI=1S/C4H6O4/c1-2(3(5)6)4(7)8/h2H,1H3,(H,5,6)(H,7,8)/p-2",InChIKey=ZIYVHBGGAOATLY-UHFFFAOYSA-L,CC(C(=O)[O-])C(=O)[O-]
184776,MNXM15783,L-alanylglycine,chebi:73786,C5H10N2O3,0.0,146.06914,"InChI=1S/C5H10N2O3/c1-3(6)5(10)7-2-4(8)9/h3H,2,6H2,1H3,(H,7,10)(H,8,9)/t3-/m0/s1",InChIKey=CXISPYVYMQWFLE-VKHMYHEASA-N,C[C@H]([NH3+])C(=O)NCC(=O)[O-]
184886,MNXM15795,aldehydo-L-allose,chebi:37746,C6H12O6,0.0,180.06339,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h1,3-6,8-12H,2H2/t3-,4+,5-,6+/m1/s1",InChIKey=GZCGUPFRVQAUEE-MOJAZDJTSA-N,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO
187396,MNXM1608,(R)-malate,chebi:15588,C4H4O5,-2.0,132.00697,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/m1/s1",InChIKey=BJEPYKJPYRNKOW-UWTATZPHSA-L,O=C([O-])C[C@@H](O)C(=O)[O-]
188409,MNXM162,D-threo-isocitrate,chebi:15562,C6H5O7,-3.0,189.00517,"InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)/p-3/t2-,4+/m0/s1",InChIKey=ODBLHEXUDAPZAU-ZAFYKAAXSA-K,O=C([O-])C[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-]
188692,MNXM162478,L-erythrulose 4-phosphate,chebi:90798,C4H7O7P,-2.0,197.99404,"InChI=1S/C4H9O7P/c5-1-3(6)4(7)2-11-12(8,9)10/h4-5,7H,1-2H2,(H2,8,9,10)/p-2/t4-/m0/s1",InChIKey=WUVPHPUDYOVMOE-BYPYZUCNSA-L,O=C(CO)[C@@H](O)COP(=O)([O-])[O-]
