,BiGG,BiGG_target
584,M_acald_c,M_h_c
585,M_acald_c,M_nadph_c
586,M_h2o_c,M_ac_c
587,M_h2o_c,M_h_c
588,M_h2o_c,M_nadph_c
589,M_nadp_c,M_ac_c
590,M_nadp_c,M_h_c
591,M_nadp_c,M_nadph_c
592,M_dump_c,M_dhf_c
593,M_dump_c,M_dtmp_c
594,M_mlthf_c,M_dhf_c
595,M_mlthf_c,M_dtmp_c
596,M_rmn_c,M_rml_c
597,M_atp_c,M_adp_c
598,M_atp_c,M_dtmp_c
599,M_atp_c,M_h_c
600,M_thymd_c,M_adp_c
601,M_thymd_c,M_dtmp_c
602,M_thymd_c,M_h_c
603,M_lys__L_c,M_36dahx_c
604,M_4ppcys_c,M_co2_c
605,M_4ppcys_c,M_pan4p_c
606,M_h_c,M_co2_c
607,M_h_c,M_pan4p_c
608,M_10fthf_c,M_for_c
609,M_10fthf_c,M_h_c
610,M_10fthf_c,M_thf_c
611,M_h2o_c,M_for_c
612,M_h2o_c,M_h_c
613,M_h2o_c,M_thf_c
614,M_23dhmb_c,M_3mob_c
615,M_23dhmb_c,M_h2o_c
616,M_3c2hmp_c,M_2ippm_c
617,M_3c2hmp_c,M_h2o_c
618,M_2dmmq8_c,M_2dmmql8_c
619,M_2dmmq8_c,M_dhap_c
620,M_glyc3p_c,M_2dmmql8_c
621,M_glyc3p_c,M_dhap_c
622,M_6pgc_c,M_2ddg6p_c
623,M_6pgc_c,M_h2o_c
624,M_2dmmq8_c,M_2dmmql8_c
625,M_2dmmq8_c,M_nad_c
626,M_h_c,M_2dmmql8_c
627,M_h_c,M_nad_c
628,M_nadh_c,M_2dmmql8_c
629,M_nadh_c,M_nad_c
630,M_h_c,M_mql8_c
631,M_h_c,M_nad_c
632,M_mqn8_c,M_mql8_c
633,M_mqn8_c,M_nad_c
634,M_nadh_c,M_mql8_c
635,M_nadh_c,M_nad_c
636,M_amp_c,M_adp_c
637,M_amp_c,M_idp_c
638,M_itp_c,M_adp_c
639,M_itp_c,M_idp_c
640,M_atp_c,M_adp_c
641,M_atp_c,M_h_c
642,M_atp_c,M_imp_c
643,M_ins_c,M_adp_c
644,M_ins_c,M_h_c
645,M_ins_c,M_imp_c
646,M_mal__L_c,M_h_c
647,M_mal__L_c,M_nadh_c
648,M_mal__L_c,M_oaa_c
649,M_nad_c,M_h_c
650,M_nad_c,M_nadh_c
651,M_nad_c,M_oaa_c
652,M_4abut_c,M_glu__L_c
653,M_4abut_c,M_sucsal_c
654,M_akg_c,M_glu__L_c
655,M_akg_c,M_sucsal_c
656,M_fum_c,M_mal__L_c
657,M_h2o_c,M_mal__L_c
658,M_atp_c,M_fad_c
659,M_atp_c,M_ppi_c
660,M_fmn_c,M_fad_c
661,M_fmn_c,M_ppi_c
662,M_h_c,M_fad_c
663,M_h_c,M_ppi_c
664,M_atp_c,M_adp_c
665,M_atp_c,M_h_c
666,M_atp_c,M_pdx5p_c
667,M_pydxn_c,M_adp_c
668,M_pydxn_c,M_h_c
669,M_pydxn_c,M_pdx5p_c
670,M_h2o_c,M_h2o2_c
671,M_h2o_c,M_nh4_c
672,M_h2o_c,M_pydx5p_c
673,M_o2_c,M_h2o2_c
674,M_o2_c,M_nh4_c
675,M_o2_c,M_pydx5p_c
676,M_pyam5p_c,M_h2o2_c
677,M_pyam5p_c,M_nh4_c
678,M_pyam5p_c,M_pydx5p_c
679,M_h2o_c,M_h_c
680,M_h2o_c,M_nadh_c
681,M_h2o_c,M_succ_c
682,M_nad_c,M_h_c
683,M_nad_c,M_nadh_c
684,M_nad_c,M_succ_c
685,M_sucsal_c,M_h_c
686,M_sucsal_c,M_nadh_c
687,M_sucsal_c,M_succ_c
688,M_asp__L_c,M_fum_c
689,M_asp__L_c,M_nh4_c
690,M_glu__L_c,M_akg_c
691,M_glu__L_c,M_phthr_c
692,M_ohpb_c,M_akg_c
693,M_ohpb_c,M_phthr_c
694,M_ser__L_c,M_nh4_c
695,M_ser__L_c,M_pyr_c
696,M_h2o_c,M_amp_c
697,M_h2o_c,M_h_c
698,M_h2o_c,M_nmn_c
699,M_nad_c,M_amp_c
700,M_nad_c,M_h_c
701,M_nad_c,M_nmn_c
702,M_nad_c,M_2aobut_c
703,M_nad_c,M_h_c
704,M_nad_c,M_nadh_c
705,M_thr__L_c,M_2aobut_c
706,M_thr__L_c,M_h_c
707,M_thr__L_c,M_nadh_c
708,M_atp_c,M_adp_c
709,M_atp_c,M_h_c
710,M_atp_c,M_man6p_c
711,M_man_c,M_adp_c
712,M_man_c,M_h_c
713,M_man_c,M_man6p_c
714,M_atp_c,M_nad_c
715,M_atp_c,M_ppi_c
716,M_h_c,M_nad_c
717,M_h_c,M_ppi_c
718,M_nmn_c,M_nad_c
719,M_nmn_c,M_ppi_c
720,M_23dhmb_c,M_alac__S_c
721,M_23dhmb_c,M_h_c
722,M_23dhmb_c,M_nadph_c
723,M_nadp_c,M_alac__S_c
724,M_nadp_c,M_h_c
725,M_nadp_c,M_nadph_c
726,M_4ahmmp_c,M_4ampm_c
727,M_4ahmmp_c,M_adp_c
728,M_4ahmmp_c,M_h_c
729,M_atp_c,M_4ampm_c
730,M_atp_c,M_adp_c
731,M_atp_c,M_h_c
732,M_2ahbut_c,M_23dhmp_c
733,M_2ahbut_c,M_nadp_c
734,M_h_c,M_23dhmp_c
735,M_h_c,M_nadp_c
736,M_nadph_c,M_23dhmp_c
737,M_nadph_c,M_nadp_c
738,M_accoa_c,M_adp_c
739,M_accoa_c,M_h_c
740,M_accoa_c,M_malcoa_c
741,M_accoa_c,M_pi_c
742,M_atp_c,M_adp_c
743,M_atp_c,M_h_c
744,M_atp_c,M_malcoa_c
745,M_atp_c,M_pi_c
746,M_hco3_c,M_adp_c
747,M_hco3_c,M_h_c
748,M_hco3_c,M_malcoa_c
749,M_hco3_c,M_pi_c
750,M_atp_c,M_adp_c
751,M_atp_c,M_h_c
752,M_atp_c,M_nadp_c
753,M_nad_c,M_adp_c
754,M_nad_c,M_h_c
755,M_nad_c,M_nadp_c
756,M_glx_c,M_2h3oppan_c
757,M_glx_c,M_co2_c
758,M_h_c,M_2h3oppan_c
759,M_h_c,M_co2_c
760,M_chor_c,M_ichor_c
761,M_2shchc_c,M_h2o_c
762,M_2shchc_c,M_sucbz_c
763,M_23ddhb_c,M_23dhb_c
764,M_23ddhb_c,M_h_c
765,M_23ddhb_c,M_nadh_c
766,M_nad_c,M_23dhb_c
767,M_nad_c,M_h_c
768,M_nad_c,M_nadh_c
769,M_h2o_c,M_23ddhb_c
770,M_h2o_c,M_pyr_c
771,M_ichor_c,M_23ddhb_c
772,M_ichor_c,M_pyr_c
773,M_glutrna_c,M_glu1sa_c
774,M_glutrna_c,M_nadp_c
775,M_glutrna_c,M_trnaglu_c
776,M_h_c,M_glu1sa_c
777,M_h_c,M_nadp_c
778,M_h_c,M_trnaglu_c
779,M_nadph_c,M_glu1sa_c
780,M_nadph_c,M_nadp_c
781,M_nadph_c,M_trnaglu_c
782,M_adpglc_c,M_adp_c
