(-9.750599999999851,1748)
(-1.7495999999999983,38)
(-3.886699999999998,84)
(-5.1360300000000025,204)
(-2.189829999999999,132)
(-1.7417999999999993,60)
(-1.2370999999999996,84)
(-1.7648000000000001,40)
(-5.3764999999999965,106)
(-0.8823599999999998,132)
(-0.2817999999999998,48)
(-3.585399999999998,74)
(-3.885099999999998,84)
(-2.7960999999999974,62)
(-0.2701,8)
(-0.6405,32)
(-3.9978999999999987,92)
(0.15140000000000026,54)
(-0.3808,0)
(-3.152299999999999,82)
(-1.444999999999999,56)
(-0.5835,16)
(-0.7170999999999998,84)
(-3.0689999999999986,72)
(-3.0866,32)
(-4.709999999999997,118)
(-2.1151999999999997,56)
(0.11410000000000026,86)
(-2.2412300000000003,48)
(-3.332299999999998,98)
(-7.0120999999999984,210)
(0.8391999999999997,58)
(0.3691,58)
(-1.197899999999998,92)
(-4.696599999999997,78)
(-6.977099999999998,210)
(-1.2208999999999997,48)
(-2.350699999999999,86)
(-0.5802,36)
(-6.6828000000000225,396)
(-3.885099999999998,84)
(-0.6226000000000003,52)
(-3.401799999999998,128)
(-1.6333999999999995,78)
(-1.4566999999999988,86)
(-6.337800000000025,424)
(-1.2431999999999994,80)
(-0.8386,32)
(-3.2459999999999978,128)
(-3.0705999999999984,72)
(-1.2317,54)
(-4.7980999999999945,192)
(-4.488399999999999,76)
(-4.972099999999995,126)
(-2.7639799999999966,142)
(-0.4323000000000001,30)
(-0.04360000000000014,68)
(2.1797400000000002,56)
(-3.8260999999999985,130)
(-5.651030000000003,228)
(-0.0025,0)
(-3.782199999999998,112)
(-4.827799999999997,78)
(-0.11220000000000019,42)
(-1.2846000000000002,40)
(-2.6724999999999985,68)
(-3.7628,52)
(-0.7465800000000002,88)
(-1.7912999999999997,34)
(-3.5903999999999994,70)
(-1.4760999999999995,44)
(0.7773999999999999,64)
(14.691999999999965,266)
(0.4584,52)
(-5.368829999999997,214)
(0.3166,48)
(-1.0615999999999959,78)
(-0.11330000000000007,50)
(-1.9313999999999985,62)
(14.994999999999964,272)
(-1.2846,40)
(-4.827799999999997,78)
(-0.23590000000000028,56)
(-3.914499999999996,124)
(-0.4323000000000001,30)
(-1.6735299999999969,108)
(-3.741399999999998,96)
(-2.292399999999998,90)
(6.770000000000009,244)
(-4.407899999999994,194)
(-4.057299999999999,72)
(-2.248499999999999,54)
(-3.885099999999998,84)
(-1.189499999999999,60)
(-0.3677000000000001,52)
(14.986399999999964,260)
(15.017619999999964,296)
(-0.19010000000000016,42)
(-1.9743999999999995,120)
(0.7949999999999999,68)
(-2.7184999999999997,48)
(-1.2190999999999999,176)
(-0.2794300000000001,28)
(0.05430000000000007,48)
(-3.1644999999999994,56)
(-4.827799999999997,78)
(7.250400000000011,264)
(-0.11779999999999985,60)
(-3.418399999999999,54)
(-0.6718999999999997,42)
(-1.4028,40)
(-1.2208999999999997,48)
(11.60869999999999,300)
(0.9649699999999999,46)
(-2.489399999999997,144)
