BiGG,DEGREE,DEGREE_CENTRALITY,EIGENVECTOR,KATZ,CLOSENESS_CENTRALITY,BETWEENNESS_CENTRALITY,CLUSTCOEF
M_5aizc_c,4,0.003755868544600939,0.01467046694410205,0.06772020339860894,0.15616573571727646,0.0034946521232659114,0
M_2omhmbl_c,1,0.0009389671361502347,0.0011890992059474797,0.0030573404905484074,0.12492310674408728,0.0,0
M_asp__L_c,5,0.004694835680751174,0.014768124629729732,0.06803539313990255,0.1562843576205938,0.0046560062127148855,0
M_tdcoa_c,2,0.0018779342723004694,0.05579576158077573,-0.004673160899242341,0.16934021136420718,0.0034893571958064173,0
M_btcoa_c,2,0.0018779342723004694,3.290915884467357e-05,-0.00479455103235878,0.09698249201391079,0.0011666490169084684,0
M_dtdp4d6dm_c,1,0.0009389671361502347,0.01438509265607967,0.06681245694368315,0.15581094797994072,0.0,0
M_malt6p_c,1,0.0009389671361502347,0.01438509265607967,0.06681245694368323,0.15581094797994072,0.0,0
M_hhlipa_c,1,0.0009389671361502347,8.352462115061496e-44,-0.004209212161170615,0.0014084507042253522,0.0,0
M_sl26da_c,2,0.0018779342723004694,1.3514567591915336e-43,-0.0046301333772876775,0.0021126760563380284,3.5299516396625366e-06,0
M_stcoa_c,1,0.0009389671361502347,0.004492961488178588,-0.0042088332289740744,0.13295531942327093,0.0,0
M_26dap_LL_c,2,0.0018779342723004694,0.05579336953849205,-0.0046263440553222755,0.16906192013764318,0.0011666490169084684,0
M_3hadpcoa_c,1,0.0009389671361502347,8.352462115061496e-44,-0.004209212161170615,0.0014084507042253522,0.0,0
M_26dap__M_p,2,0.0018779342723004694,1.3514567591915336e-43,-0.0046301333772876775,0.0021126760563380284,3.5299516396625366e-06,0
M_moco_c,1,0.0009389671361502347,0.055431610254848815,-0.004205460732424868,0.16892311724754658,0.0,0
M_xmp_c,1,0.0009389671361502347,0.01438509265607967,0.0668124569436832,0.15581094797994072,0.0,0
M_4ampm_c,3,0.002816901408450704,4.7518540371300224e-40,-0.005108452941057065,0.00335345405767941,1.2354830738818879e-05,0
M_LalaDgluMdap_c,3,0.002816901408450704,4.7518540371300224e-40,-0.005108452941057067,0.00335345405767941,1.2354830738818879e-05,0
M_5mthf_c,1,0.0009389671361502347,0.01438509265607967,0.06681245694368321,0.15581094797994072,0.0,0
M_preq1_c,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_2agpe120_p,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_cdpdhdecg_c,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_2agpe140_p,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_lcts_c,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_2agpe141_p,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_ddcacoa_c,2,0.0018779342723004694,1.1675660317539343e-45,-0.004587182232785936,0.0018779342723004694,1.7649758198312683e-06,0
M_2agpe160_p,1,0.0009389671361502347,8.255938585362749e-46,-0.004204917046720442,0.0012519561815336462,0.0,0
M_prpp_c,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_2agpe180_p,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_sbt6p_c,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_2agpe181_p,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_6pgl_c,2,0.0018779342723004694,1.3514567591915336e-43,-0.0046301333772876775,0.0021126760563380284,3.5299516396625366e-06,0
M_2agpg140_p,1,0.0009389671361502347,8.352462115061496e-44,-0.004209212161170615,0.0014084507042253522,0.0,0
M_dtdp4d6dg_c,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_2agpg141_p,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_allul6p_c,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_2agpg160_p,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_fprica_c,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_2agpg181_p,1,0.0009389671361502347,1.4539185281081203e-50,-0.004162443137157608,0.0009389671361502347,0.0,0
M_gar_c,2,0.0018779342723004694,0.00036652785844799336,-0.004634867548084329,0.10984962990256901,0.0011666490169084684,0
M_2obut_c,2,0.0018779342723004694,0.004522670078287484,-0.004677001668174535,0.13329987483479866,0.002329768082177274,0
M_malttr_c,1,0.0009389671361502347,0.006813884299465077,-0.009168597324214448,0.1411652533842276,0.0,0
M_uacgam_c,1,0.0009389671361502347,9.835575135337623e-05,-0.003674082453201513,0.10532293668160315,0.0,0
M_dpcoa_c,4,0.003755868544600939,6.728707493119302e-07,-0.006142251129648526,0.08162997691232364,0.01269370609622648,0
M_nadp_c,9,0.008450704225352112,8.190764655829408e-06,-0.008168568242296143,0.09347948968991901,0.02849906456281549,0
M_adprib_c,1,0.0009389671361502347,0.00452247618526324,-0.00425178050682075,0.1330412911784751,0.0,0
M_ser__L_c,3,0.002816901408450704,0.05615988168340785,-0.005055816833789023,0.1692009513219669,0.0023315330579971056,0
M_pram_c,2,0.0018779342723004694,6.639113584715623e-07,-0.004987551040419844,0.08130739253408882,0.0011666490169084684,0
M_adocbl_c,1,0.0009389671361502347,0.0011658173901879212,0.002964693809016651,0.12469597382273438,0.0,0
M_ser__D_c,2,0.0018779342723004694,0.014478975754478096,0.06710892632458498,0.1559290313054276,0.0011666490169084684,0
M_paps_c,1,0.0009389671361502347,3.464472991570867e-05,-0.005270154241492771,0.09758043955774805,0.0,0
M_idp_c,1,0.0009389671361502347,0.0005595403064160797,-0.004811678993051556,0.11532979641676668,0.0,0
M_thr__L_c,4,0.003755868544600939,0.006949355250877886,-0.010654801696097085,0.14155373705367166,0.004654241236895055,0
M_phaccoa_c,1,0.0009389671361502347,5.936947226382925e-23,-0.005453607257605106,0.013237146455971602,0.0,0
M_3ohodcoa_c,3,0.002816901408450704,4.3929794824308195e-28,-0.005182192272189031,0.00772635814889336,7.942391189240707e-05,0
M_gly_c,3,0.002816901408450704,1.5034814477592204e-27,-0.005831098386150326,0.010604805302402652,0.00014649299304599528,0
M_mnl_c,1,0.0009389671361502347,0.0005558406484505764,-0.0047582230161870385,0.11520064770857322,0.0,0
M_athr__L_c,3,0.002816901408450704,0.006903406368464485,-0.010120241927451916,0.14135922831158484,0.0023315330579971056,0
M_maltttr_c,1,0.0009389671361502347,6.596063420708672e-07,-0.0045630556476714615,0.08127527426723752,0.0,0
M_dc2coa_c,1,0.0009389671361502347,2.433472490609578e-26,-0.00429663905461004,0.00843315343776052,0.0,0
M_pran_c,2,0.0018779342723004694,1.0484195692506152e-25,-0.005504402311681931,0.011718797634290594,5.2949274594938046e-05,0
M_hdd2coa_c,1,0.0009389671361502347,0.0005558887844890157,-0.004767500826071593,0.11545923502105035,0.0,0
