source,target
M_udpglcur_p,M_glcur1p_p
M_udpglcur_p,M_h_p
M_udpglcur_p,M_ump_p
M_fe2_p,M_fe3_p
M_fe2_p,M_h2o_p
M_h_p,M_fe3_p
M_h_p,M_h2o_p
M_o2_p,M_fe3_p
M_o2_p,M_h2o_p
M_isetac_e,M_isetac_p
M_glcur1p_p,M_glcur_p
M_glcur1p_p,M_pi_p
M_h2o_p,M_glcur_p
M_h2o_p,M_pi_p
M_udpg_e,M_udpg_p
M_acgal1p_p,M_acgal_p
M_acgal1p_p,M_pi_p
M_h2o_p,M_acgal_p
M_h2o_p,M_pi_p
M_udpgal_e,M_udpgal_p
M_acgam1p_e,M_acgam1p_p
M_uacgam_e,M_uacgam_p
M_udpacgal_e,M_udpacgal_p
M_h_p,M_h2o_p
M_h_p,M_nh4_p
M_mql8_c,M_h2o_p
M_mql8_c,M_nh4_p
M_no2_p,M_h2o_p
M_no2_p,M_nh4_p
M_h_p,M_h2o_p
M_h_p,M_nh4_p
M_no2_p,M_h2o_p
M_no2_p,M_nh4_p
M_q8h2_c,M_h2o_p
M_q8h2_c,M_nh4_p
M_pheme_p,M_pheme_e
M_cyan_e,M_cyan_p
M_so3_e,M_so3_p
M_tcynt_e,M_tcynt_p
M_metsox_S__L_e,M_metsox_S__L_p
M_metsox_R__L_e,M_metsox_R__L_p
M_3ump_e,M_3ump_p
M_mso3_e,M_mso3_p
M_fadh2_c,M_fecrm_un_c
M_fecrm_c,M_fecrm_un_c
M_fecrm_c,M_fecrm_un_c
M_fmnh2_c,M_fecrm_un_c
M_3gmp_e,M_3gmp_p
M_so4_e,M_so4_p
M_fe3_e,M_fecrm_e
M_fecrm_un_e,M_fecrm_e
M_metsox_S__L_c,M_trdox_c
M_trdrd_c,M_trdox_c
M_metsox_R__L_c,M_trdox_c
M_trdrd_c,M_trdox_c
M_dopa_e,M_dopa_p
M_4hoxpacd_e,M_4hoxpacd_p
M_arbtn_e,M_arbtn_fe3_e
M_fe3_e,M_arbtn_fe3_e
M_fe3_e,M_feoxam_e
M_feoxam_un_e,M_feoxam_e
M_h2o_p,M_gal_p
M_h2o_p,M_glc__D_p
M_lcts_p,M_gal_p
M_lcts_p,M_glc__D_p
M_spmd_e,M_spmd_p
M_g3pc_p,M_chol_p
M_g3pc_p,M_glyc3p_p
M_g3pc_p,M_h_p
M_h2o_p,M_chol_p
M_h2o_p,M_glyc3p_p
M_h2o_p,M_h_p
M_g3pi_p,M_glyc3p_p
M_g3pi_p,M_h_p
M_g3pi_p,M_inost_p
M_h2o_p,M_glyc3p_p
M_h2o_p,M_h_p
M_h2o_p,M_inost_p
M_etha_e,M_etha_p
M_g3ps_e,M_g3ps_p
M_fadh2_c,M_feoxam_un_c
M_feoxam_c,M_feoxam_un_c
M_feoxam_c,M_feoxam_un_c
M_fmnh2_c,M_feoxam_un_c
M_feoxam_c,M_feoxam_un_c
M_rbflvrd_c,M_feoxam_un_c
M_h2o_p,M_pi_p
M_h2o_p,M_thr__L_p
M_thrp_p,M_pi_p
M_thrp_p,M_thr__L_p
M_succ_e,M_succ_p
M_fadh2_c,M_fe3hox_un_c
M_fe3hox_c,M_fe3hox_un_c
M_enter_e,M_feenter_e
M_fe3_e,M_feenter_e
M_sucr_e,M_sucr_p
M_fe3_e,M_fe3hox_e
M_fe3hox_un_e,M_fe3hox_e
M_fecrm_c,M_fecrm_un_c
M_rbflvrd_c,M_fecrm_un_c
M_anhgm4p_p,M_LalaDgluMdapDala_p
M_anhgm4p_p,M_anhgm_p
M_h2o_p,M_LalaDgluMdapDala_p
M_h2o_p,M_anhgm_p
M_ag_c,M_ag_e
M_h_e,M_ag_e
M_cd2_c,M_cd2_p
M_h_p,M_cd2_p
M_glyc2p_e,M_glyc2p_p
M_pser__L_e,M_pser__L_p
M_tartr__L_e,M_tartr__L_p
M_r5p_e,M_r5p_p
M_thrp_e,M_thrp_p
M_tyrp_e,M_tyrp_p
M_h2o_p,M_pi_p
M_h2o_p,M_rib__D_p
M_r5p_p,M_pi_p
M_r5p_p,M_rib__D_p
M_h2o_p,M_pi_p
M_h2o_p,M_ser__L_p
M_pser__L_p,M_pi_p
M_pser__L_p,M_ser__L_p
M_h2o_p,M_pi_p
M_h2o_p,M_tyr__L_p
M_tyrp_p,M_pi_p
M_tyrp_p,M_tyr__L_p
M_grxrd_c,M_grxox_c
M_paps_c,M_grxox_c
M_grxox_c,M_grxrd_c
M_gthrd_c,M_grxrd_c
M_adp_c,M_grxox_c
M_grxrd_c,M_grxox_c
M_gdp_c,M_grxox_c
M_grxrd_c,M_grxox_c
M_taur_e,M_taur_p
M_atp_c,M_leu__L_c
M_h2o_c,M_leu__L_c
M_leu__L_p,M_leu__L_c
M_thr__L_e,M_thr__L_p
M_cpgn_un_c,M_cpgn_un_p
M_h_p,M_cpgn_un_p
M_cpgn_un_p,M_cpgn_un_e
M_h_p,M_cpgn_un_e
M_14glucan_p,M_malthx_p
M_thymd_e,M_thymd_p
M_man6p_p,M_pi_p
M_pi_c,M_pi_p
M_cpgn_un_e,M_cpgn_e
M_fe3_e,M_cpgn_e
M_cit_e,M_cit_p
M_acgam_e,M_acgam_p
M_ddca_e,M_ddca_p
M_ttdca_e,M_ttdca_p
M_hdca_e,M_hdca_p
M_23cump_p,M_3ump_p
M_23cump_p,M_h_p
M_h2o_p,M_3ump_p
M_h2o_p,M_h_p
M_23ccmp_p,M_3cmp_p
M_23ccmp_p,M_h_p
M_h2o_p,M_3cmp_p
M_h2o_p,M_h_p
M_23cgmp_p,M_3gmp_p
M_23cgmp_p,M_h_p
M_h2o_p,M_3gmp_p
M_h2o_p,M_h_p
M_met__D_e,M_met__D_p
M_h_p,M_na1_p
M_na1_c,M_na1_p
M_h_p,M_na1_p
M_na1_c,M_na1_p
M_met__L_e,M_met__L_p
M_no2_c,M_no2_p
M_no3_p,M_no2_p
M_h_c,M_h_p
M_h_c,M_indole_p
M_indole_c,M_h_p
M_indole_c,M_indole_p
M_mnl_e,M_mnl_p
M_ocdca_e,M_ocdca_p
M_ocdcea_e,M_ocdcea_p
M_asn__L_p,M_asp__L_p
M_asn__L_p,M_nh4_p
M_h2o_p,M_asp__L_p
M_h2o_p,M_nh4_p
M_gln__L_p,M_glu__L_p
M_gln__L_p,M_nh4_p
M_h2o_p,M_glu__L_p
M_h2o_p,M_nh4_p
M_g6p_e,M_g6p_p
M_na1_e,M_na1_p
M_mobd_e,M_mobd_p
M_fecrm_e,M_fecrm_p
M_h_p,M_fecrm_p
M_arbtn_fe3_e,M_arbtn_fe3_p
M_h_p,M_arbtn_fe3_p
M_ni2_e,M_ni2_p
M_h2o_p,M_pi_p
M_h2o_p,M_xtsn_p
M_xmp_p,M_pi_p
M_xmp_p,M_xtsn_p
M_dump_p,M_duri_p
M_dump_p,M_pi_p
M_h2o_p,M_duri_p
M_h2o_p,M_pi_p
M_h2o_p,M_pi_p
M_h2o_p,M_uri_p
M_ump_p,M_pi_p
M_ump_p,M_uri_p
M_nac_e,M_nac_p
M_dcmp_p,M_dcyt_p
M_dcmp_p,M_pi_p
M_h2o_p,M_dcyt_p
M_h2o_p,M_pi_p
M_cmp_p,M_cytd_p
M_cmp_p,M_pi_p
M_h2o_p,M_cytd_p
M_h2o_p,M_pi_p
M_dtmp_p,M_pi_p
M_dtmp_p,M_thymd_p
M_h2o_p,M_pi_p
M_h2o_p,M_thymd_p
M_atp_c,M_crn__D_c
M_crn__D_p,M_crn__D_c
M_h2o_c,M_crn__D_c
M_damp_p,M_dad_2_p
M_damp_p,M_pi_p
M_h2o_p,M_dad_2_p
M_h2o_p,M_pi_p
M_amp_p,M_adn_p
M_amp_p,M_pi_p
M_h2o_p,M_adn_p
M_h2o_p,M_pi_p
M_atp_c,M_ctbt_c
M_ctbt_p,M_ctbt_c
M_h2o_c,M_ctbt_c
M_gmp_p,M_gsn_p
M_gmp_p,M_pi_p
M_h2o_p,M_gsn_p
M_h2o_p,M_pi_p
M_nh4_e,M_nh4_p
M_h2o_p,M_h2o2_p
M_h2o_p,M_nh4_p
M_h2o_p,M_pacald_p
M_o2_p,M_h2o2_p
M_o2_p,M_nh4_p
M_o2_p,M_pacald_p
M_peamn_p,M_h2o2_p
M_peamn_p,M_nh4_p
M_peamn_p,M_pacald_p
M_gal1p_p,M_gal_p
M_gal1p_p,M_pi_p
M_h2o_p,M_gal_p
M_h2o_p,M_pi_p
M_h2o2_e,M_h2o2_p
M_arg__L_p,M_agm_p
M_arg__L_p,M_co2_p
M_h_p,M_agm_p
M_h_p,M_co2_p
M_ade_e,M_ade_p
M_adn_e,M_adn_p
M_aso3_e,M_aso3_p
M_agm_e,M_agm_p
M_ala__L_e,M_ala__L_p
M_ala_B_e,M_ala_B_p
M_ala__D_e,M_ala__D_p
M_manglyc_e,M_manglyc_p
M_amp_e,M_amp_p
M_fruur_e,M_fruur_p
M_arab__L_e,M_arab__L_p
M_arg__L_e,M_arg__L_p
M_ascb__L_e,M_ascb__L_p
M_unagamuf_c,M_unagamuf_p
M_o16aund_c,M_o16aund_p
M_o16aund_p,M_h_p
M_o16aund_p,M_o16a2und_p
M_o16aund_p,M_udcpdp_p
M_g3ps_p,M_glyc3p_p
M_g3ps_p,M_h_p
M_g3ps_p,M_ser__L_p
M_h2o_p,M_glyc3p_p
M_h2o_p,M_h_p
M_h2o_p,M_ser__L_p
M_g3pg_p,M_glyc3p_p
M_g3pg_p,M_glyc_p
M_g3pg_p,M_h_p
M_h2o_p,M_glyc3p_p
M_h2o_p,M_glyc_p
M_h2o_p,M_h_p
M_g3pe_p,M_etha_p
M_g3pe_p,M_glyc3p_p
M_g3pe_p,M_h_p
M_h2o_p,M_etha_p
M_h2o_p,M_glyc3p_p
M_h2o_p,M_h_p
M_glyc__R_e,M_glyc__R_p
M_but_e,M_but_p
M_fe3hox_e,M_fe3hox_p
M_h_p,M_fe3hox_p
M_atp_c,M_cu2_p
M_cu2_c,M_cu2_p
M_h2o_c,M_cu2_p
M_atp_c,M_cobalt2_p
M_cobalt2_c,M_cobalt2_p
M_h2o_c,M_cobalt2_p
M_atp_c,M_ni2_p
M_h2o_c,M_ni2_p
M_ni2_c,M_ni2_p
M_LalaDgluMdapDala_p,M_LalaDgluMdap_p
M_LalaDgluMdapDala_p,M_ala__D_p
M_h2o_p,M_LalaDgluMdap_p
M_h2o_p,M_ala__D_p
M_chol_e,M_chol_p
M_glyc3p_p,M_pi_p
M_pi_c,M_pi_p
M_mmet_e,M_mmet_p
M_fe3_e,M_fe3_p
M_mg2_e,M_mg2_p
M_zn2_e,M_zn2_p
M_cd2_e,M_cd2_p
M_glyc_c,M_glyc_p
M_co2_e,M_co2_p
M_4abut_c,M_4abut_p
M_glu__L_p,M_4abut_p
M_crn_e,M_crn_p
M_cobalt2_e,M_cobalt2_p
M_h_p,M_lcts_p
M_lcts_c,M_lcts_p
M_arab__L_c,M_arab__L_p
M_h_p,M_arab__L_p
M_14glucan_e,M_14glucan_p
M_din_e,M_din_p
M_dimp_p,M_din_p
M_dimp_p,M_pi_p
M_h2o_p,M_din_p
M_h2o_p,M_pi_p
M_dimp_e,M_dimp_p
M_3amp_p,M_adn_p
M_3amp_p,M_pi_p
M_h2o_p,M_adn_p
M_h2o_p,M_pi_p
M_dms_e,M_dms_p
M_3cmp_p,M_cytd_p
M_3cmp_p,M_pi_p
M_h2o_p,M_cytd_p
M_h2o_p,M_pi_p
M_3ump_p,M_pi_p
M_3ump_p,M_uri_p
M_h2o_p,M_pi_p
M_h2o_p,M_uri_p
M_3gmp_p,M_gsn_p
M_3gmp_p,M_pi_p
M_h2o_p,M_gsn_p
M_h2o_p,M_pi_p
M_23camp_p,M_3amp_p
M_23camp_p,M_h_p
M_h2o_p,M_3amp_p
M_h2o_p,M_h_p
M_atp_c,M_zn2_p
M_h2o_c,M_zn2_p
M_zn2_c,M_zn2_p
M_csn_e,M_csn_p
M_orn_c,M_orn_p
M_ptrc_p,M_orn_p
M_cynt_e,M_cynt_p
M_hg2_e,M_hg2_p
M_xtsn_e,M_xtsn_p
M_cys__L_e,M_cys__L_p
M_cytd_e,M_cytd_p
M_dad_2_e,M_dad_2_p
M_LalaDgluMdapDala_e,M_LalaDgluMdapDala_p
M_dha_e,M_dha_p
M_etoh_e,M_etoh_p
M_anhgm4p_p,M_ala__D_p
M_anhgm4p_p,M_anhgm3p_p
M_h2o_p,M_ala__D_p
M_h2o_p,M_anhgm3p_p
M_gdp_c,M_trdox_c
M_trdrd_c,M_trdox_c
M_dca_e,M_dca_p
M_dcyt_e,M_dcyt_p
M_acac_e,M_acac_p
M_acnam_e,M_acnam_p
M_dgsn_e,M_dgsn_p
M_aso3_c,M_aso3_p
M_atp_c,M_aso3_p
M_h2o_c,M_aso3_p
M_h2s_e,M_h2s_p
M_2dmmql8_c,M_dms_p
M_2dmmql8_c,M_h2o_p
M_dmso_p,M_dms_p
M_dmso_p,M_h2o_p
M_h2s_c,M_h2s_p
M_2dmmq8_c,M_h_p
M_h2_c,M_h_p
M_h_c,M_h_p
M_h_c,M_h_p
M_no3_c,M_h_p
M_q8h2_c,M_h_p
M_ACP_c,M_octeACP_c
M_atp_c,M_octeACP_c
M_ocdcea_c,M_octeACP_c
M_tym_e,M_tym_p
M_arg__L_p,M_orn_p
M_orn_c,M_orn_p
M_cmp_e,M_cmp_p
M_dump_e,M_dump_p
M_xmp_e,M_xmp_p
M_LalaDgluMdap_e,M_LalaDgluMdap_p
M_anhgm_e,M_anhgm_p
M_h2o_p,M_ins_p
M_h2o_p,M_pi_p
M_imp_p,M_ins_p
M_imp_p,M_pi_p
M_uLa4n_c,M_uLa4n_p
M_fald_e,M_fald_p
M_cu2_e,M_cu2_p
M_fecrm_un_p,M_fecrm_un_e
M_h_p,M_fecrm_un_e
M_cl_e,M_cl_p
M_cys__D_e,M_cys__D_p
M_gmp_e,M_gmp_p
M_imp_e,M_imp_p
M_g3pi_e,M_g3pi_p
M_atp_c,M_cd2_p
M_cd2_c,M_cd2_p
M_h2o_c,M_cd2_p
