,DEGREE
M_grdp_c,1
M_gsn_c,2
M_gthox_c,1
M_gthrd_c,2
M_gtp_c,4
M_gtspmd_c,1
M_gua_c,1
M_h2_c,2
M_h2mb4p_c,1
M_h2o2_c,1
M_h2o_c,107
M_h2s_c,2
M_h_c,54
M_h_p,15
M_hacolipa_c,1
M_halipa_c,1
M_hco3_c,5
M_hcys__L_c,1
M_hdca_c,1
M_hdcap_c,1
M_hdcea_c,1
M_hdcoa_c,1
M_hdd2coa_c,1
M_hemeO_c,1
M_hg2_c,2
M_hhlipa_c,1
M_his__L_c,1
M_hisp_c,1
M_histd_c,1
M_hkndd_c,1
M_hkntd_c,1
M_hlipa_c,1
M_hmbil_c,1
M_hmgth_c,2
M_hom__L_c,2
M_hphhlipa_c,1
M_hpyr_c,2
M_hqn_c,1
M_hx2coa_c,1
M_hxa_c,2
M_hxan_c,1
M_hxcoa_c,2
M_iasp_c,1
M_ichor_c,3
M_icit_c,1
M_icolipa_c,1
M_idon__L_c,1
M_idp_c,1
M_ile__L_c,2
M_imacp_c,1
M_imp_c,1
M_indole_c,1
M_inost_c,1
M_ins_c,2
M_ipdp_c,1
M_iscssh_c,1
M_iscu_2fe2s_c,1
M_iscu_4fe4s_c,1
M_isetac_c,1
M_itp_c,2
M_k_c,1
M_kdo2lipid4_c,1
M_kdo2lipid4p_c,1
M_kdo8p_c,1
M_kdo_c,1
M_kdolipid4_c,1
M_kphphhlipa_c,1
M_lac__D_c,1
M_lac__L_c,1
M_lald__D_c,2
M_lald__L_c,3
M_lcts_c,1
M_lgt__S_c,1
M_lipa_c,2
M_lipa_cold_c,2
M_lipidA_c,1
M_lipidAds_c,2
M_lipidX_c,1
M_lipoate_c,1
M_lys__L_c,3
M_lyx__L_c,1
M_mal__D_c,1
M_mal__L_c,1
M_malcoa_c,1
M_malcoame_c,1
M_malt6p_c,1
M_malt_c,2
M_malthp_c,1
M_malthx_c,1
M_maltpt_c,1
M_malttr_c,1
M_maltttr_c,1
M_man1p_c,1
M_man6p_c,1
M_man6pglyc_c,1
M_man_c,2
M_mana_c,2
M_manglyc_c,1
M_mchtbs6p_c,1
M_mdhdhf_c,1
M_melib_c,1
M_meoh_c,1
M_mepn_c,1
M_mercpeth_c,1
M_mercppyr_c,1
M_met__D_c,1
M_met__L_c,1
M_methf_c,3
M_metsox_R__L_c,1
M_metsox_S__L_c,1
M_metsox_S__L_p,1
M_mg2_c,1
M_mi1p__D_c,1
M_micit_c,1
M_mincyc_c,1
M_minohp_c,1
M_mlthf_c,3
M_mmcoa__S_c,1
M_mmet_c,1
M_mn2_c,1
M_mnl1p_c,1
M_mnl_c,1
M_mobd_c,1
M_moco_c,1
M_mococdp_c,1
M_mpt_c,1
M_mptamp_c,1
M_mql8_c,1
M_mqn8_c,1
M_msa_c,2
M_mso3_c,1
M_mthgxl_c,3
M_mththf_c,1
M_murein3p3p_c,1
M_murein3px3p_c,1
M_murein3px4p_c,1
M_murein4p3p_c,1
M_murein4p4p_c,1
M_murein4px4p4p_c,1
M_murein4px4p_c,1
M_murein4px4px4p_c,1
M_murein5p3p_c,1
M_murein5p4p_c,1
M_murein5p5p5p_c,1
M_murein5p5p_c,1
M_murein5px3p_c,1
M_murein5px4p_c,1
M_murein5px4px4p_c,1
