BiGG,MNXM
Mthgxl,MNXM310
pydx,MNXM311
23ccmp,MNXM3148
23cump,MNXM3150
cyst__L,MNXM319
cph4,MNXM3194
pe160,MNXM32178
1agpe160,MNXM32511
1agpe140,MNXM32693
agm,MNXM328
glu__D,MNXM331
pppi,MNXM332
oxam,MNXM3329
chor,MNXM337
glcn,MNXM341
glcn__D,MNXM341
crnDcoa,MNXM3411
poaac,MNXM3415
dgtp,MNXM344
2agpe160,MNXM34810
2agpe180,MNXM34811
pppg9,MNXM351
hom__L,MNXM353
nmn,MNXM355
dctp,MNXM360
aspsa,MNXM361
LalaDglu,MNXM3630
pyam5p,MNXM366
g3pc,MNXM367
gln__L,MNXM37
pan4p,MNXM373
hqn,MNXM376
thym,MNXM386
for,MNXM39
hpyr,MNXM392
 btnso,MNXM3932
dttp,MNXM394
ahdt,MNXM397
LalaLglu,MNXM4026
adp,MNXM40333
4mop,MNXM404
5aop,MNXM405
dcdp,MNXM411
xdp,MNXM4133
uppg3,MNXM414
acser,MNXM418
pydxn,MNXM419
thymd,MNXM420
4abz,MNXM421
4abutn,MNXM422
damp,MNXM432
glyald,MNXM435
dgdp,MNXM436
2ddglcn,MNXM440
dms,MNXM444
tre6p,MNXM448
dutp,MNXM452
pdx5p,MNXM454
23dhb,MNXM455
betald,MNXM457
oaa,MNXM46
dha,MNXM460
cbasp,MNXM465
pacald,MNXM473
2h3opp,MNXM475
2h3oppan,MNXM475
hop,MNXM475
colipa,MNXM47647
5pg35pg,MNXM4772
4hoxpacd,MNXM479
thdp,MNXM480
so2,MNXM4835
gthrd,MNXM490899
duri,MNXM492
nadp,MNXM5
N1aspmd,MNXM501
56dura,MNXM506
HC00361,MNXM507505
s17bp,MNXM507505
Mqn8,MNXM509
Methf,MNXM511
26dap__M,MNXM529
3php,MNXM541
arab__D,MNXM544
hmbil,MNXM547
pydam,MNXM548
dhna,MNXM552
ppbng,MNXM554
quln,MNXM555
2dmmql8,MNXM558
dudp,MNXM572
so4,MNXM58
alltt,MNXM584
LalaDgluMdapDala,MNXM59271
pant__R,MNXM593
iasp,MNXM599
h2co3,MNXM60
hco3,MNXM60
skm,MNXM602
tym,MNXM603
h2mb4p,MNXM606
3dhsk,MNXM611
na15dap,MNXM6170
oxalcoa,MNXM618
dxyl5p,MNXM622
dad_2,MNXM625
galctn__L,MNXM636
psclys,MNXM6409
26dap_LL,MNXM644
34dhpacet,MNXM645
34dhpha,MNXM645
dgsn,MNXM647
2ddg6p,MNXM649
novbcn,MNXM65002
aragund,MNXM65126
Mg2,MNXM653
glyc3p,MNXM66
peamn,MNXM660
1agpg160,MNXM6605
thmmp,MNXM662
cgly,MNXM683
glx,MNXM69
ser__D,MNXM694
dcyt,MNXM704
dhpt,MNXM722728
1agpe180,MNXM722840
peste_hs,MNXM722840
suc6p,MNXM725918
Mobd,MNXM726092
HC02121,MNXM726277
hmgth,MNXM726277
so3,MNXM726339
fe2,MNXM726711
fe3,MNXM726712
chtbs6p,MNXM726813
2ahbut,MNXM726902
seramp,MNXM726941
2ahhmd,MNXM727068
6hmhptpp,MNXM727068
cynt,MNXM727224
coa,MNXM727276
lipidA_HP,MNXM727331
lipidAds,MNXM727331
3pg,MNXM727604
cyan,MNXM727657
Mincyc,MNXM727814
xylu__L,MNXM727819
ascb__L,MNXM727871
ag,MNXM727888
ditp,MNXM728062
gtspmd,MNXM728086
acon_T,MNXM728255
amp,MNXM728294
5caiz,MNXM728322
ile__L,MNXM728337
crncoa,MNXM728470
2ahhmp,MNXM728662
6hmhpt,MNXM728662
