Source	BiGG	MNXM	Stuff	
bigg.metabolite:	12dgr205n3226n3	MNXM1091574	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
bigg.metabolite:	12dgr226n3	MNXM1091575	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
bigg.metabolite:	12dgr226n3140	MNXM1091576	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:0)
bigg.metabolite:	12dgr226n3160	MNXM1091577	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)
bigg.metabolite:	12dgr226n31619Z	MNXM1091578	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:1(9Z))
bigg.metabolite:	12dgr226n3180	MNXM1091579	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)
bigg.metabolite:	12dgr226n31819Z	MNXM1091580	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))
bigg.metabolite:	12dgr226n3182n6	MNXM1091581	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))
bigg.metabolite:	12dgr226n3183n3	MNXM1091582	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z))
bigg.metabolite:	12dgr226n3183n6	MNXM1091583	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z))
bigg.metabolite:	12dgr226n3204n6	MNXM1091584	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))
bigg.metabolite:	12dgr226n3205n3	MNXM1091585	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))
bigg.metabolite:	12dgr_LLA	MNXM1091586	12diacylglycerollactisspecific
bigg.metabolite:	12dgr_LM	MNXM1091587	12DiacylglycerolLmajor
bigg.metabolite:	12dgr_TB	MNXM1091588	1,2-Diacyl-sn-glycerol
bigg.metabolite:	12dhchol	MNXM1091589	12-Dehydrocholicacid||12-Oxodeoxycholicacid||12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oicacid
bigg.metabolite:	12diisgly	MNXM1091590	12-Diisoheptadecanoyl-sn-glycerol
bigg.metabolite:	12m3htdACP	MNXM1091591	12-methyl-3-hydroxy-tetra-decanoyl-ACP
bigg.metabolite:	12m3otACP	MNXM1091592	12-methyl-3-oxo-tridecanoyl-ACP
bigg.metabolite:	12mdhtACP	MNXM1091593	12-methyl-3-hydroxy-tridecanoyl-ACP
bigg.metabolite:	12methedec	MNXM1091594	12methedecACPc
bigg.metabolite:	12methtetdec2	MNXM1091595	12-methyl-trans-tetra-dec-2-enoyl-ACP
bigg.metabolite:	12mgdg160	MNXM1091596	3-D-glucosyl-1,2-Diacylglycerol(n-C16)
bigg.metabolite:	12mgdg161	MNXM1091597	3-D-glucosyl-1,2-Diacylglycerol(n-C161)
bigg.metabolite:	12mgdg180	MNXM1091598	3-D-glucosyl-1,2-Diacylglycerol(n-C180)
bigg.metabolite:	12mgdg181	MNXM1091599	3-D-glucosyl-1,2-Diacylglycerol(n-C181)
bigg.metabolite:	12mgdg181_9	MNXM1091600	3-D-glucosyl-1,2-Diacylglycerol(n-C181)
bigg.metabolite:	12mgdg182_9_12	MNXM1091601	3-D-glucosyl-1,2-Diacylglycerol(n-C182)
bigg.metabolite:	12mgdg183_6_9_12	MNXM1091602	3-D-glucosyl-1,2-Diacylglycerol(n-C183)
bigg.metabolite:	12mgdg183_9_12_15	MNXM1091603	3-D-glucosyl-1,2-Diacylglycerol(n-C183)
