BiGG,MNXM,MolWt,NumHeteroatoms,NumHAcceptors,NumValenceElectrons,MolMR,MolLogP,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,charge,NumHDonors
glu1sa,MNXM1453,131.13100000000003,4,3,52,30.90919999999999,-0.6226000000000003,0.3029145122300631,-0.4812295057021128,0.4812295057021128,0.3029145122300631,0.0,2
2cpr5p,MNXM1455,346.2080000000001,11,10,128,69.8413,-3.401799999999998,0.1824593007480491,-0.7898733861842095,0.7898733861842095,0.1824593007480491,-3.0,3
imacp,MNXM1456,218.105,8,6,78,40.857200000000006,-1.6333999999999995,0.1642676633447407,-0.7898618988087142,0.7898618988087142,0.1642676633447407,-2.0,1
4adcho,MNXM1458,224.19199999999995,6,5,86,51.854200000000006,-1.4566999999999988,0.3349828085248957,-0.5415579053105009,0.5415579053105009,0.3349828085248957,-1.0,2
um4p,MNXM147329,1118.8430000000008,37,28,424,240.09019999999967,-6.337800000000025,0.4830399761105937,-0.8621744406768972,0.8621744406768972,0.4830399761105937,-4.0,12
hisp,MNXM1482,220.145,8,5,80,46.04440000000001,-1.2431999999999994,0.2647988430830481,-0.756254966469545,0.756254966469545,0.2647988430830481,-1.0,3
mso3,MNXM1485,95.099,4,3,32,15.621200000000002,-0.8386,0.0915833347567586,-0.7481561348223558,0.7481561348223558,0.0915833347567586,-1.0,0
pran,MNXM1489,346.2080000000001,11,10,128,68.62830000000001,-3.2459999999999978,0.1567491887664922,-0.7898733865866785,0.7898733865866785,0.1567491887664922,-3.0,3
thrp,MNXM1492,197.083,8,6,72,33.354699999999994,-3.0705999999999984,0.2650723592105748,-0.7562480704372072,0.7562480704372072,0.2650723592105748,-2.0,2
ppap,MNXM1499,152.04199999999997,6,5,54,23.9895,-1.2317,0.3083188743277824,-0.7801603360831189,0.7801603360831189,0.3083188743277824,-2.0,0
udpLa4o,MNXM1505,532.2440000000003,20,17,192,96.181,-4.7980999999999945,0.4806440137046675,-0.8584386267006714,0.8584386267006714,0.4806440137046675,-2.0,5
ohpb,MNXM1514,211.04199999999997,9,8,76,29.5793,-4.488399999999999,0.2085270046106312,-0.7898731920188806,0.7898731920188806,0.2085270046106312,-3.0,1
