,d1_1515,d2_1515,value1515
293,qed,MaxAbsEStateIndex,-0.6902493157797681
294,qed,MinAbsEStateIndex,0.269907775548878
295,qed,qed,1.0
296,qed,MolWt,-0.7649335264217579
297,qed,HeavyAtomMolWt,-0.7620557586780782
298,qed,ExactMolWt,-0.7649553057793971
299,qed,NumValenceElectrons,-0.772067832031912
300,qed,MaxPartialCharge,-0.5153035659965196
301,qed,MinPartialCharge,0.36520166557748157
302,qed,MaxAbsPartialCharge,-0.3524367692582708
303,qed,MinAbsPartialCharge,-0.5297945109779945
304,qed,FpDensityMorgan1,0.6965377551247971
305,qed,FpDensityMorgan2,0.6509739438084023
306,qed,FpDensityMorgan3,0.4671894761293705
307,qed,BCUT2D_MWHI,-0.4381030077981938
308,qed,BCUT2D_MWLOW,0.5380476978199965
309,qed,BCUT2D_CHGHI,-0.4857750588582704
310,qed,BCUT2D_CHGLO,0.4801350655597179
311,qed,BCUT2D_LOGPHI,-0.5171756999539937
312,qed,BCUT2D_LOGPLOW,0.37387595251965783
313,qed,BCUT2D_MRHI,-0.37752764328352734
314,qed,BCUT2D_MRLOW,0.23711916658891552
315,qed,BalabanJ,0.2627674631456837
316,qed,BertzCT,-0.6714426269864077
317,qed,Chi0,-0.7697827566300104
318,qed,Chi0n,-0.7532980712491061
319,qed,Chi0v,-0.7513194029364455
320,qed,Chi1,-0.7574181153610277
321,qed,Chi1n,-0.7481780852861281
322,qed,Chi1v,-0.7473475125229313
323,qed,Chi2n,-0.7458528583553421
324,qed,Chi2v,-0.7396135625038499
325,qed,Chi3n,-0.730772956822022
326,qed,Chi3v,-0.7250316556569686
327,qed,Chi4n,-0.7145443379633886
328,qed,Chi4v,-0.7080046463433072
329,qed,HallKierAlpha,0.5011680781936069
330,qed,Ipc,-0.7484703170433399
331,qed,Kappa1,-0.7732770751762111
332,qed,Kappa2,-0.7694232383914927
333,qed,Kappa3,-0.7246476102430759
334,qed,LabuteASA,-0.7567685036986685
335,qed,PEOE_VSA1,-0.6446533003842484
336,qed,SMR_VSA1,-0.718490148119689
337,qed,SlogP_VSA2,-0.7094585606848947
338,qed,SlogP_VSA3,-0.6752969189915344
339,qed,TPSA,-0.6637598551759547
340,qed,FractionCSP3,-0.32766659835501455
341,qed,HeavyAtomCount,-0.7602634054501728
342,qed,NOCount,-0.6822546152510632
343,qed,NumHAcceptors,-0.6664618520423294
344,qed,NumHeteroatoms,-0.6771063990053382
345,qed,NumRotatableBonds,-0.7694164517531422
346,qed,MolLogP,-0.03766206041085644
347,qed,MolMR,-0.7413295112813321
348,MolWt,mass,0.9999977624819967
349,MolWt,MaxEStateIndex,0.9198388189557513
350,MolWt,MinEStateIndex,-0.6751582369181905
351,MolWt,MaxAbsEStateIndex,0.9198388189557513
352,MolWt,MinAbsEStateIndex,-0.38242991948512844
353,MolWt,qed,-0.7649335264217579
354,MolWt,MolWt,1.0
355,MolWt,HeavyAtomMolWt,0.9994289323314596
356,MolWt,ExactMolWt,0.9999978972722402
357,MolWt,NumValenceElectrons,0.9943542351657481
358,MolWt,MaxPartialCharge,0.5748771789600653
359,MolWt,MinPartialCharge,-0.564768521514298
360,MolWt,MaxAbsPartialCharge,0.4847607975672107
361,MolWt,MinAbsPartialCharge,0.5539867242406439
362,MolWt,FpDensityMorgan1,-0.6895895140079916
363,MolWt,FpDensityMorgan2,-0.5041385008206363
364,MolWt,FpDensityMorgan3,-0.174302937988418
365,MolWt,BCUT2D_MWHI,0.5830961446264011
366,MolWt,BCUT2D_MWLOW,-0.6121067771662435
367,MolWt,BCUT2D_CHGHI,0.7107777632234914
368,MolWt,BCUT2D_CHGLO,-0.6851031157195578
369,MolWt,BCUT2D_LOGPHI,0.8077084585114989
370,MolWt,BCUT2D_LOGPLOW,-0.4106924307690616
371,MolWt,BCUT2D_MRHI,0.5567319064285783
372,MolWt,BCUT2D_MRLOW,-0.3533019523342284
373,MolWt,BalabanJ,-0.3594019450478753
374,MolWt,BertzCT,0.9574452432400574
375,MolWt,Chi0,0.9924245314530235
376,MolWt,Chi0n,0.9838812110807867
377,MolWt,Chi0v,0.9930574269615524
378,MolWt,Chi1,0.9898516115353371
379,MolWt,Chi1n,0.9754423369864484
380,MolWt,Chi1v,0.9858187341770036
381,MolWt,Chi2n,0.9755989062073347
382,MolWt,Chi2v,0.984034459347472
383,MolWt,Chi3n,0.9673208478866147
384,MolWt,Chi3v,0.9810753569964776
385,MolWt,Chi4n,0.9610921878449975
386,MolWt,Chi4v,0.9746948427309314
387,MolWt,HallKierAlpha,-0.700064650743544
388,MolWt,Ipc,0.9871897101132726
389,MolWt,Kappa1,0.9826568233256561
390,MolWt,Kappa2,0.944220827213162
391,MolWt,Kappa3,0.7439140052073375
392,MolWt,LabuteASA,0.9938004193612482
393,MolWt,PEOE_VSA1,0.8134679710376815
394,MolWt,SMR_VSA1,0.8601514858696785
395,MolWt,SlogP_VSA2,0.8011302471658812
396,MolWt,SlogP_VSA3,0.8313783685078492
397,MolWt,TPSA,0.8544038808406366
398,MolWt,FractionCSP3,0.29981189054559304
399,MolWt,HeavyAtomCount,0.9931016043732626
400,MolWt,NOCount,0.8853247706890646
401,MolWt,NumHAcceptors,0.876206840716056
402,MolWt,NumHeteroatoms,0.888001555724058
403,MolWt,NumRotatableBonds,0.9041580743843501
404,MolWt,MolLogP,0.017926550684643387
405,MolWt,MolMR,0.9734953894802159
406,HeavyAtomMolWt,mass,0.9994294578619237
407,HeavyAtomMolWt,MaxEStateIndex,0.9199719891224025
408,HeavyAtomMolWt,MinEStateIndex,-0.6859875884705414
409,HeavyAtomMolWt,MaxAbsEStateIndex,0.9199719891224025
410,HeavyAtomMolWt,MinAbsEStateIndex,-0.3809706809984754
411,HeavyAtomMolWt,qed,-0.7620557586780782
412,HeavyAtomMolWt,MolWt,0.9994289323314595
413,HeavyAtomMolWt,HeavyAtomMolWt,1.0
414,HeavyAtomMolWt,ExactMolWt,0.999428723248134
415,HeavyAtomMolWt,NumValenceElectrons,0.9919063271463799
416,HeavyAtomMolWt,MaxPartialCharge,0.578643670645552
417,HeavyAtomMolWt,MinPartialCharge,-0.5750390525266219
418,HeavyAtomMolWt,MaxAbsPartialCharge,0.49634613851159354
419,HeavyAtomMolWt,MinAbsPartialCharge,0.5574800846052789
420,HeavyAtomMolWt,FpDensityMorgan1,-0.6837231211003538
421,HeavyAtomMolWt,FpDensityMorgan2,-0.4991109769113834
422,HeavyAtomMolWt,FpDensityMorgan3,-0.1687206613029849
423,HeavyAtomMolWt,BCUT2D_MWHI,0.5877827264478727
